dev_id,time,port,specHumid,pm25,pm25Min,o3,specO3max,pm25Count,specTemp,pm25Average,specStatus,pm10Average,specO3min,pmStatus,pm1Average,specO3Count,pm25Max,specO3Average
graqm0106,2018-09-26T13:33:29.823683731Z,2,50,5,2,31,74,70,19,5,1,5,-63,1,3,60,24,31
graqm0106,2018-09-26T13:40:39.277900867Z,2,49,3,1,36,58,71,19,3,1,3,22,1,2,61,8,36
graqm0106,2018-09-26T13:41:40.701359004Z,2,49,2,1,34,117,71,19,2,1,2,-53,1,1,62,3,34
graqm0106,2018-09-26T13:42:42.007939438Z,2,49,5,0,33,85,71,19,5,1,5,-12,1,3,60,11,33
graqm0106,2018-09-26T13:43:43.379254444Z,2,49,1,0,35,105,72,19,1,1,1,-39,1,0,62,2,35
graqm0106,2018-09-26T13:44:44.743734831Z,2,49,1,0,33,61,71,19,1,1,1,-29,1,0,60,2,33
graqm0106,2018-09-26T13:45:46.299117928Z,2,48,2,0,33,112,72,19,2,1,2,-28,1,1,62,3,33
graqm0106,2018-09-26T13:46:47.493393268Z,2,49,3,2,32,68,71,19,3,1,3,-52,1,2,60,4,32
graqm0106,2018-09-26T14:59:20.787179097Z,2,47,2,0,38,153,112,19,2,1,2,-75,1,1,205,36,38
graqm0106,2018-09-26T15:00:21.788006366Z,2,46,20,5,36,56,70,19,20,1,23,11,1,12,60,68,36
graqm0106,2018-09-26T15:01:22.850066995Z,2,45,9,5,34,52,70,20,9,1,10,12,1,6,61,27,34
graqm0106,2018-09-26T15:02:23.864656705Z,2,45,4,3,35,64,72,20,4,1,4,3,1,2,61,7,35
graqm0106,2018-09-26T15:03:24.84942856Z,2,46,29,2,41,65,69,20,29,1,31,15,1,18,61,59,41
graqm0106,2018-09-26T15:04:25.999529409Z,2,46,8,3,39,62,70,20,8,1,9,12,1,5,61,38,39
graqm0106,2018-09-26T15:05:26.949920063Z,2,45,4,3,38,56,71,20,4,1,4,2,1,3,61,5,38
graqm0106,2018-09-26T15:06:27.922545229Z,2,45,5,4,35,63,72,20,5,1,5,-7,1,3,61,6,35
graqm0106,2018-09-26T15:07:29.038082071Z,2,45,4,3,37,64,71,20,4,1,4,6,1,3,61,5,37
graqm0106,2018-09-26T15:08:29.956600391Z,2,45,4,3,38,70,71,20,4,1,5,14,1,3,61,7,38
graqm0106,2018-09-26T15:09:31.100022766Z,2,45,5,2,37,59,71,20,5,1,5,8,1,3,61,7,37
graqm0106,2018-09-26T15:10:32.082111277Z,2,45,4,2,38,64,71,20,4,1,4,21,1,3,61,4,38
graqm0106,2018-09-26T15:11:33.074303911Z,2,45,3,2,39,54,71,20,3,1,3,16,1,2,61,4,39
graqm0106,2018-09-26T15:12:34.060161742Z,2,44,4,3,40,64,71,20,4,1,4,8,1,3,61,4,40
graqm0106,2018-09-26T15:13:35.170369054Z,2,44,4,3,38,62,72,20,4,1,4,7,1,3,61,4,38
graqm0106,2018-09-26T15:14:36.222531108Z,2,44,3,3,39,66,71,20,3,1,4,1,1,3,61,4,39
graqm0106,2018-09-26T15:15:37.190332161Z,2,44,3,3,38,68,71,20,3,1,4,0,1,3,61,5,38
graqm0106,2018-09-26T15:16:38.195081597Z,2,44,3,2,39,74,71,20,3,1,3,4,1,2,62,4,39
graqm0106,2018-09-26T15:17:39.191182556Z,2,44,4,2,43,78,71,20,4,1,4,11,1,3,60,6,43
graqm0106,2018-09-26T15:18:40.256058217Z,2,44,4,3,38,63,72,20,4,1,4,19,1,3,61,5,38
graqm0106,2018-09-26T15:19:41.276789864Z,2,44,4,3,39,79,71,20,4,1,4,-4,1,3,61,5,39
graqm0106,2018-09-26T15:20:42.24653878Z,2,43,4,3,41,81,71,20,4,1,4,-9,1,3,61,4,41
graqm0106,2018-09-26T15:21:43.382197707Z,2,43,3,1,37,74,71,20,3,1,3,-11,1,2,61,4,37
